,productName,productPrice(INR),productDesc,productImg,productBuyLink
4,Bacca Bucci,1199,Mens Trainers Athletic Walking Running Gyming Jogging Fitness Sneakers/Sports Shoes.,https://m.media-amazon.com/images/I/61bPo8isNqL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDA2NjQ1NjE0MjUzMjo6MDo6&url=%2FBacca-Bucci-Trainers-Athletic-Shoes-Black%2Fdp%2FB07D14D5TL%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
21,Red Tape,1199,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837976/2023/7/1/58984184-0b67-4e40-8202-af7b61e65f251688202092967RedTapeMenBlackColourblockedPUSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-mid-top-contrast-sole-sneakers/23837976/buy
22,Campus,1199,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15474902/2022/5/18/b40db336-28d6-4b18-8824-bde3ffeaa8ad1652874266073CampusMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-running-shoes/15474902/buy
6,Campus,1196,Men's First Running Shoes,https://m.media-amazon.com/images/I/61+f0qntv1L._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjMwMDA2NzUxNzgyODkzMjo6MDo6&url=%2FCampus-Mens-Black-Mattlic-Green-Sneakers%2Fdp%2FB09MLV15Z8%2Fref%3Dsr_1_58_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
5,Campus,1196,Men's North Plus Running Shoes,https://m.media-amazon.com/images/I/61NLkoMf2rL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDA2NzU1NzQzOTkzMjo6MDo6&url=%2FCampus-North-Running-Shoes-Black%2Fdp%2FB08PSMQW1H%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
23,Campus,1196,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13273434/2023/4/6/983aa78d-c869-4aa5-8616-a27f84feb6981680759761066-Campus-Men-Black-Mesh-Running-Shoes-4081680759760668-1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-running-shoes/13273434/buy
24,Red Tape,1139,Men Perforated Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837950/2023/7/1/9e77a7e0-f7cc-433c-8e99-279f4ed3717a1688196022688RedTapeMenBlackColourblockedPUSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-perforated-contrast-sole-sneakers/23837950/buy
25,Red Tape,1119,Men Colourblocked PU High-Top Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23410028/2023/5/26/0aac564d-628b-4974-8d35-78a8ab44dbd01685100093331RedTapeMenBlackColourblockedPUHigh-TopSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-pu-high-top-sneakers/23410028/buy
26,Red Tape,1119,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21920768/2023/2/10/d890891f-9675-4bb9-9f12-a6ce1d231c7b1676019544044SportsShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-women-textile-running-shoes/21920768/buy
27,HRX by Hrithik Roshan,1109,Men Perforations Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25776488/2023/11/6/abd4d849-25ed-43de-bdb1-c62f8c5d51cc1699260252520HRXbyHrithikRoshanMenBlackColourblockedSneakers1.jpg",https://myntra.com/casual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black--white-perforations-comfort-insole-sneakers/25776488/buy
28,Campus,1104,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15465490/2022/7/21/f51e052e-dc84-4f1d-8aed-97371b4861881658381401685-Campus-Men-Black-Mesh-Running-Non-Marking-Shoes-751165838140-1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-running-shoes/15465490/buy
29,Red Tape,1079,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23837948/2023/7/1/d85bb274-a6df-4bee-875d-7dfc98a986581688199092946RedTapeMenBlackColourblockedSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-colourblocked-contrast-sole-sneakers/23837948/buy
30,Red Tape,1059,Men Walking Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21619050/2023/6/28/2864e621-49af-4a14-bbe9-73b72b0430a41687929267917-Red-Tape-Men-Mesh-Walking-Sports-Shoes-3791687929267533-1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-mesh-walking-sports-shoes/21619050/buy
31,HRX by Hrithik Roshan,999,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27110316/2024/1/22/4c4bdf11-dca6-4429-b9f1-1dfb6c8f8b4e1705935648010HRXbyHrithikRoshanWomenMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-mesh-running-shoes/27110316/buy
32,HRX by Hrithik Roshan,989,Women Running Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25669494/2023/10/28/02abe450-8109-4d40-af9b-a0216ffd67751698500235520SportsShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-black-mesh-running-sports-shoes/25669494/buy
